"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDL100C",225.045967054871,0.749060505743782,0.175621488462365,38.8763741796786,3.61495261307e-09,2.06629003447464e-08
"YDL101C",43.8969498345671,1.82198609218339,0.316338025828336,39.1175949419332,3.20421895850426e-09,1.84046828936178e-08
"YDL102W",78.7257469953098,-0.889212196664374,0.276283249299803,11.4838532711043,0.00320858055111444,0.00656463068187621
"YDL103C",42.6133235239068,-0.214904652778503,0.317442860131351,8.98509778244387,0.0111920800275296,0.0198985362304883
"YDL104C",32.6090690393701,0.465271743889564,0.318386287321706,6.82668024580128,0.0329310228115818,0.0518913086727956
"YDL105W",41.9453485923047,-0.100354248171578,0.291625889085065,0.660625089504926,0.718699072701716,0.756146061091367
"YDL106C",67.3175856742745,-0.0406234421316041,0.28630430209293,0.0528437217325433,0.973924142451165,0.978252694195392
"YDL107W",29.0445535264951,0.392059640343551,0.359532378999296,1.34300009577559,0.510941565836418,0.563387622603639
"YDL108W",37.8049826986437,-0.041062810916814,0.304761504088768,0.306444032204695,0.857939224342784,0.878879163570118
"YDL109C",19.7645845613479,-0.884837141663377,0.394279954769423,15.2295384453081,0.000493114468792002,0.00120672921239947
"YDL110C",517.449203616196,1.00784949880297,0.232723670907583,60.183354946034,8.53788935305109e-14,8.25142069712635e-13
"YDL111C",16.748442508374,0.314195907818924,0.424278068754829,0.582995479887337,0.747143702187917,0.780899394175774
"YDL112W",83.9703677782304,-0.680746488011062,0.302493828668257,5.75704628875165,0.0562177270223215,0.0833548735763717
"YDL113C",95.2250665806905,0.173341160469071,0.266761286738698,2.09322879212672,0.351124507545555,0.407894982850442
"YDL114W",6.25287352752881,-0.177053136184709,0.72344756013896,0.922215088550452,0.630584857959806,0.67479814703548
"YDL115C",147.944139457108,0.189548857366292,0.249948601380271,1.43490742409945,0.487993246653411,0.541334400101084
"YDL116W",60.5684404623228,-0.520406126696235,0.31294913755842,8.70724999106362,0.012860110141753,0.0225839830223972
"YDL117W",51.9854420268722,-0.441591171528419,0.284940303739301,2.41271769320242,0.299285040618273,0.356063757577034
"YDL119C",19.8537321569092,-0.539101557875501,0.388292764153271,1.96999844928674,0.373439516485353,0.430162504058505
"YDL120W",81.2317293327829,0.671595431144581,0.241088108187148,17.9503443932137,0.000126512151312094,0.000352245541328635
"YDL121C",32.0215742358613,0.526730304955022,0.367734474363269,8.50845136673791,0.0142040849477354,0.0246567808428045
"YDL122W",204.113849961785,0.362930764506485,0.286911339383194,4.01682461792659,0.134201576252842,0.178813710218073
"YDL123W",25.3186654586009,-0.547177118322977,0.387945598836598,2.53741923359478,0.281194236091278,0.338031368918238
